Eil.Nr.,Gatvė,Namas,Butas,Patalpų nuomos,Adresas,lat,lng
1,A.Smetonos,47,2,7.59,A.Smetonos g. 47 - 2 Panevėžys,55.73198,24.354815
2,A.Smetonos,47,3,21.83,A.Smetonos g. 47 - 3 Panevėžys,55.73198,24.354815
3,A.Smetonos,47,4,22.17,A.Smetonos g. 47 - 4 Panevėžys,55.73198,24.354815
4,A.Smetonos,47,6,12.22,A.Smetonos g. 47 - 6 Panevėžys,55.73198,24.354815
67,J.Basanavičiaus,1,96,13.07,J.Basanavičiaus g. 1 - 96 Panevėžys,55.728786,24.368162
68,J.Basanavičiaus,7,1,25.56,J.Basanavičiaus g. 7 - 1 Panevėžys,55.725067,24.36758
69,J.Basanavičiaus,52a,64,11.03,J.Basanavičiaus g. 52a - 64 Panevėžys,55.72003,24.368761
70,J.Basanavičiaus,52a,92,16.1,J.Basanavičiaus g. 52a - 92 Panevėžys,55.72003,24.368761
71,J.Basanavičiaus,52a,118,32.38,J.Basanavičiaus g. 52a - 118 Panevėžys,55.72003,24.368761
72,J.Basanavičiaus,66,1,11.04,J.Basanavičiaus g. 66 - 1 Panevėžys,55.718716,24.369438
73,J.Basanavičiaus,66,28,27.29,J.Basanavičiaus g. 66 - 28 Panevėžys,55.718716,24.369438
74,J.Basanavičiaus,66,44,12.36,J.Basanavičiaus g. 66 - 44 Panevėžys,55.718716,24.369438
75,J.Basanavičiaus,66,47,16.48,J.Basanavičiaus g. 66 - 47 Panevėžys,55.718716,24.369438
76,J.Basanavičiaus,18,1,24.51,J.Basanavičiaus g. 18 - 1 Panevėžys,55.724358,24.367018
77,J.Janonio,10,1,5.97,J.Janonio g. 10 - 1 Panevėžys,55.7417,24.324205
78,J.Janonio,10,2,5.61,J.Janonio g. 10 - 2 Panevėžys,55.7417,24.324205
79,J.Janonio,10,3,6.01,J.Janonio g. 10 - 3 Panevėžys,55.7417,24.324205
80,J.Janonio,10,4,6.09,J.Janonio g. 10 - 4 Panevėžys,55.7417,24.324205
81,J.Janonio,10,5,7.21,J.Janonio g. 10 - 5 Panevėžys,55.7417,24.324205
82,J.Janonio,10,6,9.1,J.Janonio g. 10 - 6 Panevėžys,55.7417,24.324205
83,J.Janonio,10,7,8.61,J.Janonio g. 10 - 7 Panevėžys,55.7417,24.324205
84,J.Janonio,10,8,8.35,J.Janonio g. 10 - 8 Panevėžys,55.7417,24.324205
85,J.Janonio,10,9,10.94,J.Janonio g. 10 - 9 Panevėžys,55.7417,24.324205
86,J.Janonio,10,10,8.63,J.Janonio g. 10 - 10 Panevėžys,55.7417,24.324205
87,J.Janonio,10,11,12.7,J.Janonio g. 10 - 11 Panevėžys,55.7417,24.324205
88,J.Janonio,10,12,8.57,J.Janonio g. 10 - 12 Panevėžys,55.7417,24.324205
89,J.Janonio,10,13,8.62,J.Janonio g. 10 - 13 Panevėžys,55.7417,24.324205
90,J.Janonio,10,14,8.56,J.Janonio g. 10 - 14 Panevėžys,55.7417,24.324205
91,J.Janonio,10,15,6.09,J.Janonio g. 10 - 15 Panevėžys,55.7417,24.324205
92,J.Janonio,10,16,4.94,J.Janonio g. 10 - 16 Panevėžys,55.7417,24.324205
93,J.Janonio,10,17,5.97,J.Janonio g. 10 - 17 Panevėžys,55.7417,24.324205
94,J.Janonio,10,18,6.29,J.Janonio g. 10 - 18 Panevėžys,55.7417,24.324205
95,J.Janonio,10,19,5.16,J.Janonio g. 10 - 19 Panevėžys,55.7417,24.324205
96,J.Janonio,10,20,5.96,J.Janonio g. 10 - 20 Panevėžys,55.7417,24.324205
97,J.Janonio,8,1,7.46,J.Janonio g. 8 - 1 Panevėžys,55.741825,24.325117
98,J.Janonio,8,2,9.23,J.Janonio g. 8 - 2 Panevėžys,55.741825,24.325117
99,J.Janonio,8,3,8.34,J.Janonio g. 8 - 3 Panevėžys,55.741825,24.325117
100,J.Janonio,8,4,6.27,J.Janonio g. 8 - 4 Panevėžys,55.741825,24.325117
101,J.Janonio,8,5,6.15,J.Janonio g. 8 - 5 Panevėžys,55.741825,24.325117
