Id,Miestas,Gatve,Namas,Butas,Plotas,Kaina,KainaM2,Tipas,lat,lng
1,Panevėžio m.,Algirdo g.,90,304,17,,,Savivaldybės būstas,,
2,Panevėžio m.,Algirdo g.,90,506A,25,,,Savivaldybės būstas,,
3,Panevėžio m.,Algirdo g.,94,102,17,,,Savivaldybės būstas,,
4,Panevėžio m.,Aukštaičių g.,2,102,47,25.94,0.55,Savivaldybės būstas,55.721302,24.363623
5,Panevėžio m.,Aukštaičių g.,66,19,20,11.43,0.57,Savivaldybės būstas,55.7244,24.380138
6,Panevėžio m.,Aukštaičių g.,76,25,50,26.52,0.53,Savivaldybės būstas,55.72537,24.383211
7,Panevėžio m.,Aukštaičių g.,84,1A,35,,,Savivaldybės būstas,,
8,Panevėžio m.,Aukštaičių g.,87,309,26,,,Savivaldybės būstas,,
9,Panevėžio m.,Aukštaičių g.,87,408A,19,,,Savivaldybės būstas,,
10,Panevėžio m.,Aukštaičių g.,87,505,23,,,Savivaldybės būstas,,
11,Panevėžio m.,Aukštaičių g.,87,505A,16,,,Savivaldybės būstas,,
12,Panevėžio m.,Aukštaičių g.,87,509,26,,,Savivaldybės būstas,,
13,Panevėžio m.,Aukštaičių g.,89,100,25,,,Savivaldybės būstas,,
14,Panevėžio m.,Aukštaičių g.,89,103,25,,,Savivaldybės būstas,,
15,Panevėžio m.,Aukštaičių g.,89,404,19,,,Savivaldybės būstas,,
16,Panevėžio m.,Aukštaičių g.,89,505,23,,,Savivaldybės būstas,,
17,Panevėžio m.,Aldonos g.,5,104,26,,,Savivaldybės būstas,,
18,Panevėžio m.,Aldonos g.,5,105,26,,,Savivaldybės būstas,,
19,Panevėžio m.,Aldonos g.,5,111,26,,,Savivaldybės būstas,,
20,Panevėžio m.,Aldonos g.,5,15,27,,,Savivaldybės būstas,,
21,Panevėžio m.,Aldonos g.,5,16,27,,,Savivaldybės būstas,,
22,Panevėžio m.,Aldonos g.,5,28,26,,,Savivaldybės būstas,,
23,Panevėžio m.,Aldonos g.,5,29,26,,,Savivaldybės būstas,,
24,Panevėžio m.,Aldonos g.,5,6,27,,,Savivaldybės būstas,,
25,Panevėžio m.,Aldonos g.,5,7,26,,,Savivaldybės būstas,,
26,Panevėžio m.,Ateities g.,28,38,50,29.86,0.6,Savivaldybės būstas,55.733376,24.317595
27,Panevėžio m.,Ateities g.,44,16,50,26.85,0.54,Savivaldybės būstas,55.73472,24.317343
28,Panevėžio m.,Ateities g.,50,2,32,14.72,0.46,Savivaldybės būstas,55.735615,24.317194
29,Panevėžio m.,J. Basanavičiaus g.,18,1,40,,,Savivaldybės būstas,,
30,Panevėžio m.,J. Basanavičiaus g.,52A,118,61,,,Savivaldybės būstas,,
31,Panevėžio m.,J. Basanavičiaus g.,52A,64,30,,,Savivaldybės būstas,,
32,Panevėžio m.,J. Basanavičiaus g.,66,1,22,,,Savivaldybės būstas,,
33,Panevėžio m.,J. Basanavičiaus g.,66,28,47,,,Savivaldybės būstas,,
34,Panevėžio m.,J. Basanavičiaus g.,66,47,30,,,Savivaldybės būstas,,
35,Panevėžio m.,J. Basanavičiaus g.,7,1,43,,,Savivaldybės būstas,,
36,Panevėžio m.,Beržų g.,23,94,29,15.55,0.54,Savivaldybės būstas,55.717888,24.369076
37,Panevėžio m.,Beržų g.,25,2A,36,,,Savivaldybės būstas,,
38,Panevėžio m.,Beržų g.,31,11,50,27.36,0.55,Savivaldybės būstas,55.718628,24.374563
39,Panevėžio m.,Beržų g.,31,45,28,15.19,0.54,Savivaldybės būstas,55.718628,24.374563
40,Panevėžio m.,Beržų g.,33,24,28,15.11,0.54,Savivaldybės būstas,55.718845,24.37602
41,Panevėžio m.,Beržų g.,35,17,69,35.82,0.52,Savivaldybės būstas,55.719482,24.37671
42,Panevėžio m.,Beržų g.,35,19,69,35.65,0.52,Savivaldybės būstas,55.719482,24.37671
43,Panevėžio m.,Beržų g.,35,20,58,29.87,0.52,Savivaldybės būstas,55.719482,24.37671
44,Panevėžio m.,Beržų g.,35,21,72,32.48,0.45,Savivaldybės būstas,55.719482,24.37671
45,Panevėžio m.,Beržų g.,35,22,58,29.86,0.51,Savivaldybės būstas,55.719482,24.37671
46,Panevėžio m.,Beržų g.,35,23,17,8.24,0.48,Savivaldybės būstas,55.719482,24.37671
47,Panevėžio m.,Beržų g.,35,23A,17,,,Savivaldybės būstas,,
48,Panevėžio m.,Beržų g.,35,24,57,29.71,0.52,Savivaldybės būstas,55.719482,24.37671
49,Panevėžio m.,Beržų g.,35,25AC,35,,,Savivaldybės būstas,,
50,Panevėžio m.,Beržų g.,35,39,25,13.66,0.55,Savivaldybės būstas,55.719482,24.37671
51,Panevėžio m.,Beržų g.,35,50,45,19.2,0.43,Savivaldybės būstas,55.719482,24.37671
52,Panevėžio m.,Beržų g.,39,53,50,26.79,0.54,Savivaldybės būstas,55.721367,24.383966
53,Panevėžio m.,Beržų g.,45,69,28,12.03,0.43,Savivaldybės būstas,55.722282,24.386143
54,Panevėžio m.,Beržų g.,47,26,51,27.11,0.53,Savivaldybės būstas,55.72252,24.38706
55,Panevėžio m.,Beržų g.,49,41,49,26.22,0.54,Savivaldybės būstas,55.722942,24.387478
56,Panevėžio m.,Beržų g.,49,55,50,26.47,0.53,Savivaldybės būstas,55.722942,24.387478
57,Panevėžio m.,Beržų g.,55,12,28,15.0,0.54,Savivaldybės būstas,55.72339,24.388796
58,Panevėžio m.,Beržų g.,55,18,29,15.37,0.53,Savivaldybės būstas,55.72339,24.388796
59,Panevėžio m.,Dariaus ir Girėno g.,18,2,36,20.14,0.56,Savivaldybės būstas,55.733185,24.325024
60,Panevėžio m.,Dariaus ir Girėno g.,19,4,56,40.81,0.73,Savivaldybės būstas,55.73322,24.323277
61,Panevėžio m.,Dariaus ir Girėno g.,21,44,49,18.48,0.38,Savivaldybės būstas,55.73324,24.322006
62,Panevėžio m.,Dariaus ir Girėno g.,27,31,65,35.27,0.54,Savivaldybės būstas,55.733513,24.320385
63,Panevėžio m.,Dariaus ir Girėno g.,28,50,35,20.13,0.58,Savivaldybės būstas,55.735275,24.323406
64,Panevėžio m.,A. Smetonos g.,47,3,50,,,Savivaldybės būstas,,
65,Panevėžio m.,A. Smetonos g.,47,4,50,,,Savivaldybės būstas,,
66,Panevėžio m.,A. Smetonos g.,47,6,28,,,Savivaldybės būstas,,
67,Panevėžio m.,Durpyno g.,12,13,33,20.02,0.61,Savivaldybės būstas,55.717976,24.35977
68,Panevėžio m.,Durpyno g.,12,41,34,16.17,0.48,Savivaldybės būstas,55.717976,24.35977
69,Panevėžio m.,Durpyno g.,4,33,28,16.81,0.6,Savivaldybės būstas,55.718475,24.363749
70,Panevėžio m.,Vysk. M. Giedraičio g.,3,2,39,,,Savivaldybės būstas,,
71,Panevėžio m.,J. Zikaro g.,3,3,62,,,Savivaldybės būstas,,
72,Panevėžio m.,J. Zikaro g.,37,1,26,,,Savivaldybės būstas,,
73,Panevėžio m.,J. Janonio g.,10,11,47,,,Savivaldybės būstas,,
74,Panevėžio m.,J. Janonio g.,10,2,26,,,Savivaldybės būstas,,
75,Panevėžio m.,J. Janonio g.,10,5,26,,,Savivaldybės būstas,,
76,Panevėžio m.,J. Janonio g.,10,6,34,,,Savivaldybės būstas,,
77,Panevėžio m.,J. Janonio g.,10,9,51,,,Savivaldybės būstas,,
78,Panevėžio m.,J. Janonio g.,8,1,32,,,Savivaldybės būstas,,
79,Panevėžio m.,J. Janonio g.,8,12,32,,,Savivaldybės būstas,,
80,Panevėžio m.,J. Janonio g.,8,2,32,,,Savivaldybės būstas,,
81,Panevėžio m.,S. Kerbedžio g.,34,10B,25,,,Savivaldybės būstas,,
82,Panevėžio m.,Kauno g.,9,6B,18,,,Savivaldybės būstas,,
83,Panevėžio m.,Kosmonautų g.,3,74,52,38.23,0.74,Savivaldybės būstas,55.729603,24.337896
84,Panevėžio m.,Klaipėdos g.,112,55,44,24.62,0.56,Savivaldybės būstas,55.73003,24.32985
85,Panevėžio m.,Klaipėdos g.,118,23,52,30.65,0.59,Savivaldybės būstas,55.72974,24.327354
86,Panevėžio m.,Klaipėdos g.,118,26,52,30.65,0.59,Savivaldybės būstas,55.72974,24.327354
