Nr.,Miestas/Gyvenvietė,Gatvė,Namo Nr.,Buto Nr.,Tipas,Plotas
1,Panevėžio m.,Algirdo g.,90,304,Savivaldybės būstas,"17,55"
2,Panevėžio m.,Algirdo g.,90,506A,Savivaldybės būstas,"25,07"
3,Panevėžio m.,Algirdo g.,94,102,Savivaldybės būstas,"17,88"
4,Panevėžio m.,Aukštaičių g.,2,102,Savivaldybės būstas,"47,66"
5,Panevėžio m.,Aukštaičių g.,66,19,Savivaldybės būstas,"20,16"
6,Panevėžio m.,Aukštaičių g.,76,25,Savivaldybės būstas,"50,11"
7,Panevėžio m.,Aukštaičių g.,84,1A,Savivaldybės būstas,"35,99"
8,Panevėžio m.,Aukštaičių g.,87,309,Savivaldybės būstas,"26,67"
9,Panevėžio m.,Aukštaičių g.,87,408A,Savivaldybės būstas,"19,15"
10,Panevėžio m.,Aukštaičių g.,87,505,Savivaldybės būstas,"23,08"
11,Panevėžio m.,Aukštaičių g.,87,505A,Savivaldybės būstas,"16,84"
12,Panevėžio m.,Aukštaičių g.,87,509,Savivaldybės būstas,"26,59"
13,Panevėžio m.,Aukštaičių g.,89,100,Savivaldybės būstas,"25,92"
14,Panevėžio m.,Aukštaičių g.,89,103,Savivaldybės būstas,"25,67"
15,Panevėžio m.,Aukštaičių g.,89,404,Savivaldybės būstas,"19,08"
16,Panevėžio m.,Aukštaičių g.,89,505,Savivaldybės būstas,"23,24"
17,Panevėžio m.,Aldonos g.,5,104,Savivaldybės būstas,"26,59"
18,Panevėžio m.,Aldonos g.,5,105,Savivaldybės būstas,"26,48"
19,Panevėžio m.,Aldonos g.,5,111,Savivaldybės būstas,"26,54"
20,Panevėžio m.,Aldonos g.,5,15,Savivaldybės būstas,"27,15"
21,Panevėžio m.,Aldonos g.,5,16,Savivaldybės būstas,"27,15"
22,Panevėžio m.,Aldonos g.,5,28,Savivaldybės būstas,"26,18"
23,Panevėžio m.,Aldonos g.,5,29,Savivaldybės būstas,"26,16"
24,Panevėžio m.,Aldonos g.,5,6,Savivaldybės būstas,"27,15"
25,Panevėžio m.,Aldonos g.,5,7,Savivaldybės būstas,"26,95"
26,Panevėžio m.,Ateities g.,28,38,Savivaldybės būstas,"50,95"
27,Panevėžio m.,Ateities g.,44,16,Savivaldybės būstas,"50,90"
28,Panevėžio m.,Ateities g.,50,2,Savivaldybės būstas,"32,90"
29,Panevėžio m.,J. Basanavičiaus g.,18,1,Savivaldybės būstas,"40,30"
30,Panevėžio m.,J. Basanavičiaus g.,52A,118,Savivaldybės būstas,"61,19"
31,Panevėžio m.,J. Basanavičiaus g.,52A,64,Savivaldybės būstas,"30,40"
32,Panevėžio m.,J. Basanavičiaus g.,66,1,Savivaldybės būstas,"22,53"
33,Panevėžio m.,J. Basanavičiaus g.,66,28,Savivaldybės būstas,"47,85"
34,Panevėžio m.,J. Basanavičiaus g.,66,47,Savivaldybės būstas,"30,27"
35,Panevėžio m.,J. Basanavičiaus g.,7,1,Savivaldybės būstas,"43,35"
36,Panevėžio m.,Beržų g.,23,94,Savivaldybės būstas,"29,38"
37,Panevėžio m.,Beržų g.,25,2A,Savivaldybės būstas,"36,62"
38,Panevėžio m.,Beržų g.,31,11,Savivaldybės būstas,"50,70"
39,Panevėžio m.,Beržų g.,31,45,Savivaldybės būstas,"28,70"
40,Panevėžio m.,Beržų g.,33,24,Savivaldybės būstas,"28,55"
41,Panevėžio m.,Beržų g.,35,17,Savivaldybės būstas,"69,68"
42,Panevėžio m.,Beržų g.,35,19,Savivaldybės būstas,"69,35"
43,Panevėžio m.,Beržų g.,35,20,Savivaldybės būstas,"58,11"
44,Panevėžio m.,Beržų g.,35,21,Savivaldybės būstas,"72,64"
45,Panevėžio m.,Beržų g.,35,22,Savivaldybės būstas,"58,08"
46,Panevėžio m.,Beržų g.,35,23,Savivaldybės būstas,"17,30"
47,Panevėžio m.,Beržų g.,35,23A,Savivaldybės būstas,"17,98"
48,Panevėžio m.,Beržų g.,35,24,Savivaldybės būstas,"57,79"
