Nr.,Miestas/Gyvenvietė,Gatvė,Namo Nr.,Buto Nr.,Tipas,Plotas
1,Panevėžio m.,Algirdo g.,54,8,Socialinis būstas,"30,64"
2,Panevėžio m.,Aukštaičių g.,2,88,Socialinis būstas,"29,86"
3,Panevėžio m.,Aukštaičių g.,66,41,Socialinis būstas,"19,60"
4,Panevėžio m.,Aukštaičių g.,76,2,Socialinis būstas,"33,26"
5,Panevėžio m.,Aukštaičių g.,76,32,Socialinis būstas,"49,98"
6,Panevėžio m.,Ateities g.,14,5,Socialinis būstas,"35,93"
7,Panevėžio m.,Ateities g.,18,15,Socialinis būstas,"49,88"
8,Panevėžio m.,Ateities g.,28,24,Socialinis būstas,"63,71"
9,Panevėžio m.,Ateities g.,34,41,Socialinis būstas,"50,80"
10,Panevėžio m.,J. Basanavičiaus g.,1,96,Socialinis būstas,"29,25"
11,Panevėžio m.,J. Basanavičiaus g.,52A,92,Socialinis būstas,"44,36"
12,Panevėžio m.,J. Basanavičiaus g.,66,44,Socialinis būstas,"34,06"
13,Panevėžio m.,Beržų g.,21,41,Socialinis būstas,"30,39"
14,Panevėžio m.,Beržų g.,35,23,Socialinis būstas,"35,25"
15,Panevėžio m.,Beržų g.,35,25,Socialinis būstas,"17,19"
16,Panevėžio m.,Beržų g.,35,25,Socialinis būstas,"17,30"
17,Panevėžio m.,F. Vaitkaus g.,9,73,Socialinis būstas,"30,43"
18,Panevėžio m.,Danutės g.,40,43,Socialinis būstas,"50,11"
19,Panevėžio m.,Dariaus ir Girėno g.,20,29,Socialinis būstas,"35,83"
20,Panevėžio m.,Dariaus ir Girėno g.,39,59,Socialinis būstas,"36,37"
21,Panevėžio m.,Dariaus ir Girėno g.,9,43,Socialinis būstas,"32,99"
22,Panevėžio m.,Dariaus ir Girėno g.,9,91,Socialinis būstas,"33,23"
23,Panevėžio m.,A. Smetonos g.,47,2,Socialinis būstas,"24,13"
24,Panevėžio m.,Durpyno g.,4,36,Socialinis būstas,"28,42"
25,Panevėžio m.,Gražinos g.,3,59,Socialinis būstas,"30,34"
26,Panevėžio m.,J. Janonio g.,10,1,Socialinis būstas,"33,45"
27,Panevėžio m.,J. Janonio g.,10,10,Socialinis būstas,"48,37"
28,Panevėžio m.,J. Janonio g.,10,12,Socialinis būstas,"48,03"
29,Panevėžio m.,J. Janonio g.,10,13,Socialinis būstas,"48,28"
30,Panevėžio m.,J. Janonio g.,10,14,Socialinis būstas,"47,98"
31,Panevėžio m.,J. Janonio g.,10,15,Socialinis būstas,"34,15"
32,Panevėžio m.,J. Janonio g.,10,16,Socialinis būstas,"27,70"
33,Panevėžio m.,J. Janonio g.,10,17,Socialinis būstas,"33,46"
34,Panevėžio m.,J. Janonio g.,10,18,Socialinis būstas,"35,23"
35,Panevėžio m.,J. Janonio g.,10,19,Socialinis būstas,"28,90"
36,Panevėžio m.,J. Janonio g.,10,20,Socialinis būstas,"33,41"
37,Panevėžio m.,J. Janonio g.,10,3,Socialinis būstas,"33,66"
38,Panevėžio m.,J. Janonio g.,10,4,Socialinis būstas,"33,89"
39,Panevėžio m.,J. Janonio g.,10,7,Socialinis būstas,"48,26"
40,Panevėžio m.,J. Janonio g.,10,8,Socialinis būstas,"46,77"
41,Panevėžio m.,J. Janonio g.,8,10,Socialinis būstas,"48,84"
42,Panevėžio m.,J. Janonio g.,8,11,Socialinis būstas,"33,29"
43,Panevėžio m.,J. Janonio g.,8,3,Socialinis būstas,"43,69"
44,Panevėžio m.,J. Janonio g.,8,4,Socialinis būstas,"32,84"
45,Panevėžio m.,J. Janonio g.,8,5,Socialinis būstas,"32,21"
46,Panevėžio m.,J. Janonio g.,8,6,Socialinis būstas,"45,50"
47,Panevėžio m.,J. Janonio g.,8,8,Socialinis būstas,"32,23"
48,Panevėžio m.,J. Janonio g.,8,9,Socialinis būstas,"31,54"
49,Panevėžio m.,Kaštonų g.,2,48,Socialinis būstas,"44,20"
50,Panevėžio m.,Klaipėdos g.,104,48,Socialinis būstas,"44,46"
51,Panevėžio m.,Klaipėdos g.,128,9,Socialinis būstas,"64,57"
52,Panevėžio m.,Klaipėdos g.,34,17,Socialinis būstas,"49,90"
53,Panevėžio m.,Klaipėdos g.,40,5,Socialinis būstas,"27,41"
54,Panevėžio m.,Liepų al.,17,9,Socialinis būstas,"15,46"
55,Panevėžio m.,Liepų al.,7A,1,Socialinis būstas,"28,68"
56,Panevėžio m.,Molainių g.,14,55,Socialinis būstas,"32,83"
57,Panevėžio m.,Molainių g.,22,17,Socialinis būstas,"35,93"
58,Panevėžio m.,Molainių g.,28,44,Socialinis būstas,"36,13"
59,Panevėžio m.,Molainių g.,56,14,Socialinis būstas,"36,06"
60,Panevėžio m.,Molainių g.,56,42,Socialinis būstas,"31,35"
61,Panevėžio m.,Molainių g.,56,50,Socialinis būstas,"31,66"
62,Panevėžio m.,Marių g.,17,2,Socialinis būstas,"36,33"
63,Panevėžio m.,Marių g.,22,1,Socialinis būstas,"44,74"
64,Panevėžio m.,Marijonų g.,29,10,Socialinis būstas,"20,29"
65,Panevėžio m.,Marijonų g.,29,13,Socialinis būstas,"30,74"
66,Panevėžio m.,Marijonų g.,29,34,Socialinis būstas,"20,31"
67,Panevėžio m.,Marijonų g.,29,97,Socialinis būstas,"30,22"
68,Panevėžio m.,Margirio g.,11,15,Socialinis būstas,"56,15"
69,Panevėžio m.,Margirio g.,11,3,Socialinis būstas,"56,18"
70,Panevėžio m.,Margirio g.,11,6,Socialinis būstas,"56,39"
71,Panevėžio m.,Margirio g.,11,7,Socialinis būstas,"56,08"
72,Panevėžio m.,Margirio g.,11,9,Socialinis būstas,"56,42"
73,Panevėžio m.,Margirio g.,9,10,Socialinis būstas,"42,97"
74,Panevėžio m.,Margirio g.,9,8,Socialinis būstas,"83,36"
75,Panevėžio m.,Nevėžio g.,36,51,Socialinis būstas,"26,38"
